1
Air Force,17,8,9,.471,2.50,0.31,2,3,5,3,3,3,1307,1215,,680,436,912,.478,156,385,.405,279,365,.764,120,544,239,88,32,210,281
Akron,17,14,3,.824,10.05,-0.76,4,0,10,0,3,2,1291,1062,,680,434,984,.441,163,434,.376,260,341,.762,172,662,241,84,54,235,291
Alabama A&M,15,5,10,.333,-15.27,-4.47,2,2,4,1,1,9,984,1146,,605,358,940,.381,90,325,.277,178,252,.706,155,520,171,99,33,162,260
Alabama-Birmingham,17,11,6,.647,0.85,-1.22,2,2,8,2,1,4,1089,1013,,680,399,907,.440,86,278,.309,205,301,.681,196,670,170,97,53,260,276
Alabama State,17,2,15,.118,-18.41,-1.29,1,3,1,1,0,11,1011,1302,,680,355,934,.380,106,351,.302,195,301,.648,138,513,162,102,30,259,340
Alabama,15,8,7,.533,10.64,6.18,1,2,5,1,1,4,1248,1181,,610,429,977,.439,160,440,.364,230,328,.701,179,624,217,94,67,232,289
Albany (NY),17,9,8,.529,-7.62,-6.18,2,0,5,2,2,6,1151,1148,,680,390,918,.425,126,382,.330,245,347,.706,130,592,227,91,49,236,287
Alcorn State,15,6,9,.400,-12.78,0.22,2,2,5,1,1,8,1160,1118,,605,407,952,.428,155,400,.388,191,259,.737,181,573,218,137,46,221,269
American,15,6,9,.400,-6.94,-4.80,2,2,3,2,3,7,1056,1088,,600,391,881,.444,112,325,.345,162,240,.675,136,486,190,112,45,191,259
Appalachian State,18,9,9,.500,-1.49,-0.12,3,4,5,2,3,6,1223,1186,,720,431,1003,.430,116,385,.301,245,381,.643,185,664,208,137,48,253,284
Arizona State,16,10,6,.625,9.51,5.51,1,2,6,1,3,2,1172,1108,,640,420,985,.426,107,352,.304,225,330,.682,154,580,175,134,49,202,301
Arizona,16,11,5,.688,21.43,5.87,1,2,8,1,0,3,1301,1052,,645,460,952,.483,114,310,.368,267,365,.732,160,600,266,107,64,188,304
Little Rock,18,11,7,.611,-0.07,-1.13,5,2,7,2,4,5,1241,1205,,720,435,955,.455,95,295,.322,276,400,.690,193,656,250,123,53,304,330
Arkansas-Pine Bluff,15,3,12,.200,-19.76,0.10,2,1,1,0,2,12,790,1060,,600,292,735,.397,53,196,.270,153,243,.630,125,471,134,120,45,283,293
Arkansas State,18,12,6,.667,-2.88,-0.94,4,3,9,3,3,3,1244,1248,,725,417,947,.440,93,272,.342,317,449,.706,169,578,256,141,54,240,344
